χωρῶν; τῶν χωρῶν<br><br>ἡ χώρα
μοίραις; ταῖς μοίραις<br><br>ἡ μοῖρα
γλώτταιν; τοῖν γλώτταιν<br><br>ἡ γλῶττα
γλώτταις; ταῖς γλώτταις<br><br>ἡ γλῶττα
γλώττᾱς; τὰς γλώττᾱς<br><br>ἡ γλῶττα
γλώττᾱ; τὼ γλώττᾱ<br><br>ἡ γλῶττα
γλώττης; τῆς γλώττης<br><br>ἡ γλῶττα
γλῶττᾰν; τὴν γλῶττᾰν<br><br>ἡ γλῶττα
γλώττῃ; τῇ γλώττῃ<br><br>ἡ γλῶττα
γλωττῶν; τῶν γλωττῶν<br><br>ἡ γλῶττα
γλῶττᾰ; ἡ γλῶττᾰ<br>ῶ γλῶττᾰ<br><br>ἡ γλῶττα
γλῶτται; αἱ γλῶτται<br><br>ἡ γλῶττα
θᾰλάττᾱς; τὰς θᾰλάττᾱς<br><br>ἡ θάλαττα
θᾰλαττῶν; τῶν θᾰλαττῶν<br><br>ἡ θάλαττα
θάλαττᾰν; τὴν θάλαττᾰν<br><br>ἡ θάλαττα
θᾰλάτταις; ταῖς θᾰλάτταις<br><br>ἡ θάλαττα
θάλατται; αἱ θάλατται<br><br>ἡ θάλαττα
θᾰλάτταιν; τοῖν θᾰλάτταιν<br><br>ἡ θάλαττα
θᾰλάττης; τῆς θᾰλάττης<br><br>ἡ θάλαττα
θάλαττᾰ; ἡ θάλαττᾰ<br>ῶ θάλαττᾰ<br><br>ἡ θάλαττα
θᾰλάττᾱ; τὼ θᾰλάττᾱ<br><br>ἡ θάλαττα
θᾰλάττῃ; τῇ θᾰλάττῃ<br><br>ἡ θάλαττα
νεᾱνίᾳ; τῷ νεᾱνίᾳ<br><br>ὁ νεανίας
νεᾱνίᾱ; τὼ νεᾱνίᾱ<br>ῶ νεᾱνίᾱ<br><br>ὁ νεανίας
νεᾱνίᾱς; ὁ νεᾱνίᾱς<br>τοὺς νεᾱνίᾱς<br><br>ὁ νεανίας
νεᾱνίαιν; τοῖν νεᾱνίαιν<br><br>ὁ νεανίας
νεᾱνίαι; οἱ νεᾱνίαι<br><br>ὁ νεανίας
νεᾱνιῶν; τῶν νεᾱνιῶν<br><br>ὁ νεανίας
νεᾱνίᾱν; τὸν νεᾱνίᾱν<br><br>ὁ νεανίας
νεᾱνίου; τοῦ νεᾱνίου<br><br>ὁ νεανίας
νεᾱνίοις; τοῖς νεᾱνίοις<br><br>ὁ νεανίας
πολῑ́τᾱ; τὼ πολῑ́τᾱ<br><br>ὁ πολίτης
πολῑ́της; ὁ πολῑ́της<br><br>ὁ πολίτης
πολῑ́τᾱς; τοὺς πολῑ́τᾱς<br><br>ὁ πολίτης
πολῑτῶν; τῶν πολῑτῶν<br><br>ὁ πολίτης
πολῑ́του; τοῦ πολῑ́του<br><br>ὁ πολίτης
πολῖτᾰ; ῶ πολῖτᾰ<br><br>ὁ πολίτης
πολῑ́τῃ; τῷ πολῑ́τῃ<br><br>ὁ πολίτης
πολῑ́ταιν; τοῖν πολῑ́ταιν<br><br>ὁ πολίτης
πολῑ́ταις; τοῖς πολῑ́ταις<br><br>ὁ πολίτης
πολῑ́την; τὸν πολῑ́την<br><br>ὁ πολίτης
πολῖται; οἱ πολῖται<br><br>ὁ πολίτης
κριτά; τὼ κριτά<br>ῶ κριτά<br><br>ὁ κριτής
κριταί; οἱ κριταί<br><br>ὁ κριτής
κριτοῦ; τοῦ κριτοῦ<br><br>ὁ κριτής
κριτῶν; τῶν κριτῶν<br><br>ὁ κριτής
κριτάς; τοὺς κριτάς<br><br>ὁ κριτής
κριτήν; τὸν κριτήν<br><br>ὁ κριτής
κριτῇ; τῷ κριτῇ<br><br>ὁ κριτής
κριταῖν; τοῖν κριταῖν<br><br>ὁ κριτής
κριταῖς; τοῖς κριταῖς<br><br>ὁ κριτής
κριτής; ὁ κριτής<br><br>ὁ κριτής
Ἀτρείδᾱ; τὼ Ἀτρείδᾱ<br><br>ὁ Ἀτρείδης
Ἀτρείδη; ῶ Ἀτρείδη<br><br>ὁ Ἀτρείδης
Ἀτρείδᾱς; τοὺς Ἀτρείδᾱς<br><br>ὁ Ἀτρείδης
Ἀτρειδῶν; τῶν Ἀτρειδῶν<br><br>ὁ Ἀτρείδης
Ἀτρείδην; τὸν Ἀτρείδην<br><br>ὁ Ἀτρείδης
Ἀτρείδης; ὁ Ἀτρείδης<br><br>ὁ Ἀτρείδης
Ἀτρεῖδαι; οἱ Ἀτρεῖδαι<br><br>ὁ Ἀτρείδης
Ἀτρείδῃ; τῷ Ἀτρείδῃ<br><br>ὁ Ἀτρείδης
Ἀτρείδου; τοῦ Ἀτρείδου<br><br>ὁ Ἀτρείδης
Ἀτρείδαις; τοῖς Ἀτρείδαις<br><br>ὁ Ἀτρείδης
Ἀτρείδαιν; τοῖν Ἀτρείδαιν<br><br>ὁ Ἀτρείδης
μναῖν; τοῖν μναῖν<br><br>ἡ μνᾶ
μνᾶς; τὰς μνᾶς<br>τῆς μνᾶς<br><br>ἡ μνᾶ
μναῖ; αἱ μναῖ<br><br>ἡ μνᾶ
μνᾶ; ἡ μνᾶ<br>τὼ μνᾶ<br>ῶ μνᾶ<br><br>ἡ μνᾶ
μνᾷ; τῇ μνᾷ<br><br>ἡ μνᾶ
μνᾶν; τὴν μνᾶν<br><br>ἡ μνᾶ
μνῶν; τῶν μνῶν<br><br>ἡ μνᾶ
μναῖς; ταῖς μναῖς<br><br>ἡ μνᾶ
σῡκαῖν; τοῖν σῡκαῖν<br><br>ἡ συκῆ
σῡκῆ; ἡ σῡκῆ<br>ῶ σῡκῆ<br><br>ἡ συκῆ
σῡκῇ; τῇ σῡκῇ<br><br>ἡ συκῆ
σῡκῆς; τῆς σῡκῆς<br><br>ἡ συκῆ
σῡκῶν; τῶν σῡκῶν<br><br>ἡ συκῆ
σῡκᾶ; τὼ σῡκᾶ<br><br>ἡ συκῆ
σῡκαῖ; αἱ σῡκαῖ<br><br>ἡ συκῆ
σῡκᾶς; τὰς σῡκᾶς<br><br>ἡ συκῆ
σῡκῆν; τὴν σῡκῆν<br><br>ἡ συκῆ
σῡκαῖς; ταῖς σῡκαῖς<br><br>ἡ συκῆ
Βορρᾶν; τὸν Βορρᾶν<br><br>ὁ Βορρᾶς
Βορρᾶς; ὁ Βορρᾶς<br>ῶ Βορρᾶς<br><br>ὁ Βορρᾶς
Βορρᾶ; τοῦ Βορρᾶ<br><br>ὁ Βορρᾶς
Βορρᾷ; τῷ Βορρᾷ<br><br>ὁ Βορρᾶς
Ἑρμῆ; τὸν Ἑρμῆ<br>ῶ Ἑρμῆ<br><br>ὁ Ἑρμῆς
Ἑρμῇ; τῷ Ἑρμῇ<br><br>ὁ Ἑρμῆς
Ἑρμῆς; ὁ Ἑρμῆς<br><br>ὁ Ἑρμῆς
Ἑρμοῦ; τοῦ Ἑρμοῦ<br><br>ὁ Ἑρμῆς
Ἑρμέᾳ; τῷ Ἑρμέᾳ<br><br>ὁ Ἑρμῆς
Ἑρμῆν; τὸν Ἑρμῆν<br><br>ὁ Ἑρμῆς
Ἑρμέην; τὸν Ἑρμέην<br><br>ὁ Ἑρμῆς
ἵππον; τὸν ἵππον<br><br>ὁ ἵππος
ἵππῳ; τῷ ἵππῳ<br><br>ὁ ἵππος
ἵππων; τῶν ἵππων<br><br>ὁ ἵππος
ἵπποι; οἱ ἵπποι<br><br>ὁ ἵππος
ἵππε; ῶ ἵππε<br><br>ὁ ἵππος
ἵπποις; τοῖς ἵπποις<br><br>ὁ ἵππος
ἵπποιν; τοῖν ἵπποιν<br><br>ὁ ἵππος
ἵππους; τοὺς ἵππους<br><br>ὁ ἵππος
ἵππου; τοῦ ἵππου<br><br>ὁ ἵππος
ἵππω; τὼ ἵππω<br><br>ὁ ἵππος
ἵππος; ὁ ἵππος<br><br>ὁ ἵππος
ἄνθρωπος; ὁ ἄνθρωπος<br><br>ὁ ἄνθρωπος
ἀνθρώπου; τοῦ ἀνθρώπου<br><br>ὁ ἄνθρωπος
ἄνθρωπε; ῶ ἄνθρωπε<br><br>ὁ ἄνθρωπος
ἀνθρώποις; τοῖς ἀνθρώποις<br><br>ὁ ἄνθρωπος
ἀνθρώπων; τῶν ἀνθρώπων<br><br>ὁ ἄνθρωπος
ἀνθρώπῳ; τῷ ἀνθρώπῳ<br><br>ὁ ἄνθρωπος
ἀνθρώπω; τὼ ἀνθρώπω<br><br>ὁ ἄνθρωπος
ἀνθρώπους; τοὺς ἀνθρώπους<br><br>ὁ ἄνθρωπος
ἀνθρώποιν; τοῖν ἀνθρώποιν<br><br>ὁ ἄνθρωπος
ἄνθρωποι; οἱ ἄνθρωποι<br><br>ὁ ἄνθρωπος
ἄνθρωπον; τὸν ἄνθρωπον<br><br>ὁ ἄνθρωπος
ὁδῶν; τῶν ὁδῶν<br><br>ἡ ὁδός
ὁδόν; τὴν ὁδόν<br><br>ἡ ὁδός
ὁδοί; αἱ ὁδοί<br><br>ἡ ὁδός
ὁδώ; τὼ ὁδώ<br><br>ἡ ὁδός
ὁδέ; ῶ ὁδέ<br><br>ἡ ὁδός
ὁδοῦ; τῆς ὁδοῦ<br><br>ἡ ὁδός
ὁδούς; τὰς ὁδούς<br><br>ἡ ὁδός
ὁδοῖς; ταῖς ὁδοῖς<br><br>ἡ ὁδός
ὁδοῖν; τοῖν ὁδοῖν<br><br>ἡ ὁδός
ὁδῷ; τῇ ὁδῷ<br><br>ἡ ὁδός
ὁδός; ἡ ὁδός<br><br>ἡ ὁδός
δώροις; τοῖς δώροις<br><br>τὸ δῶρον
δώρω; τὼ δώρω<br><br>τὸ δῶρον
δῶρᾰ; τὰ δῶρᾰ<br><br>τὸ δῶρον
δώρου; τοῦ δώρου<br><br>τὸ δῶρον
δώρῳ; τῷ δώρῳ<br><br>τὸ δῶρον
δώροιν; τοῖν δώροιν<br><br>τὸ δῶρον
δώρων; τῶν δώρων<br><br>τὸ δῶρον
δῶρον; τὸ δῶρον<br>ῶ δῶρον<br><br>τὸ δῶρον
νόῳ; τῷ νόῳ<br><br>ὁ νοῦς
νῷ; τῷ νῷ<br><br>ὁ νοῦς
νοῦν; τὸν νοῦν<br><br>ὁ νοῦς
νόε; ῶ νόε<br><br>ὁ νοῦς
νοῖς; τοῖς νοῖς<br><br>ὁ νοῦς
νόους; τοὺς νόους<br><br>ὁ νοῦς
νόου; τοῦ νόου<br><br>ὁ νοῦς
νόος; ὁ νόος<br><br>ὁ νοῦς
νοῖ; οἱ νοῖ<br><br>ὁ νοῦς
νῶν; τῶν νῶν<br><br>ὁ νοῦς
νόων; τῶν νόων<br><br>ὁ νοῦς
νοῖν; τοῖν νοῖν<br><br>ὁ νοῦς
νόον; τὸν νόον<br><br>ὁ νοῦς
νόοιν; τοῖν νόοιν<br><br>ὁ νοῦς
νόοι; οἱ νόοι<br><br>ὁ νοῦς
νώ; τὼ νώ<br><br>ὁ νοῦς
νόω; τὼ νόω<br><br>ὁ νοῦς
νοῦς; ὁ νοῦς<br>τοὺς νοῦς<br><br>ὁ νοῦς
νοῦ; τοῦ νοῦ<br>ῶ νοῦ<br><br>ὁ νοῦς
νόοις; τοῖς νόοις<br><br>ὁ νοῦς
περίπλοος; ὁ περίπλοος<br><br>ὁ περίπλους
περίπλων; τῶν περίπλων<br><br>ὁ περίπλους
περιπλόω; τὼ περιπλόω<br><br>ὁ περίπλους
περίπλῳ; τῷ περίπλῳ<br><br>ὁ περίπλους
περίπλω; τὼ περίπλω<br><br>ὁ περίπλους
περίπλου; τοῦ περίπλου<br>ῶ περίπλου<br><br>ὁ περίπλους
περίπλους; ὁ περίπλους<br><br>ὁ περίπλους
περίπλοιν; τοῖν περίπλοιν<br><br>ὁ περίπλους
περιπλόοιν; τοῖν περιπλόοιν<br><br>ὁ περίπλους
περιπλόοις; τοῖς περιπλόοις<br><br>ὁ περίπλους
περίπλοις; τοῖς περίπλοις<br>τοὺς περίπλοις<br><br>ὁ περίπλους
περίπλουν; τὸν περίπλουν<br><br>ὁ περίπλους
περιπλόων; τῶν περιπλόων<br><br>ὁ περίπλους
περιπλόους; τοὺς περιπλόους<br><br>ὁ περίπλους
περίπλοι; οἱ περίπλοι<br><br>ὁ περίπλους
περίπλοοι; οἱ περίπλοοι<br><br>ὁ περίπλους
περίπλοε; ῶ περίπλοε<br><br>ὁ περίπλους
περίπλοον; τὸν περίπλοον<br><br>ὁ περίπλους
περιπλόου; τοῦ περιπλόου<br><br>ὁ περίπλους
περιπλόῳ; τῷ περιπλόῳ<br><br>ὁ περίπλους
ὀστοῖν; τοῖν ὀστοῖν<br><br>τὸ ὀστοῦν
ὀστοῦ; τοῦ ὀστοῦ<br><br>τὸ ὀστοῦν
ὀστῶν; τῶν ὀστῶν<br><br>τὸ ὀστοῦν
ὀστώ; τὼ ὀστώ<br><br>τὸ ὀστοῦν
ὀστοῦν; τὸ ὀστοῦν<br>ῶ ὀστοῦν<br><br>τὸ ὀστοῦν
ὀστῷ; τῷ ὀστῷ<br><br>τὸ ὀστοῦν
ὀστᾶ; τὰ ὀστᾶ<br><br>τὸ ὀστοῦν
ὀστοῖς; τοῖς ὀστοῖς<br><br>τὸ ὀστοῦν
νεών; τῶν νεών<br>τὸν νεών<br><br>ὁ νεώς
νεώ; τὼ νεώ<br>τοῦ νεώ<br><br>ὁ νεώς
νεῴν; τοῖν νεῴν<br><br>ὁ νεώς
νεῴς; τοῖς νεῴς<br><br>ὁ νεώς
νεῴ; τῷ νεῴ<br>οἱ νεῴ<br><br>ὁ νεώς
νεώς; ὁ νεώς<br>τοὺς νεώς<br>ῶ νεώς<br><br>ὁ νεώς
Αἰθίοπες; οἱ Αἰθίοπες<br><br>ὁ Αἰθίοψ
Αἰθίοπῐ(ν); τοῖς Αἰθίοπῐ(ν)<br><br>ὁ Αἰθίοψ
Αἰθίοψ; ὁ Αἰθίοψ<br>ῶ Αἰθίοψ<br><br>ὁ Αἰθίοψ
Αἰθίοπᾰ; τὸν Αἰθίοπᾰ<br><br>ὁ Αἰθίοψ
Αἰθίοπε; τὼ Αἰθίοπε<br><br>ὁ Αἰθίοψ
Αἰθίοπᾰς; τοὺς Αἰθίοπᾰς<br><br>ὁ Αἰθίοψ
Αἰθιόπων; τῶν Αἰθιόπων<br><br>ὁ Αἰθίοψ
Αἰθιόποιν; τοῖν Αἰθιόποιν<br><br>ὁ Αἰθίοψ
Αἰθίοπῐ; τῷ Αἰθίοπῐ<br><br>ὁ Αἰθίοψ
Αἰθίοπος; τοῦ Αἰθίοπος<br><br>ὁ Αἰθίοψ
φλέβε; τὼ φλέβε<br><br>ἡ φλέψ
φλεβῶν; τῶν φλεβῶν<br><br>ἡ φλέψ
φλεβί; τῇ φλεβί<br><br>ἡ φλέψ
φλεβοῖν; τοῖν φλεβοῖν<br><br>ἡ φλέψ
φλέβᾰς; τὰς φλέβᾰς<br><br>ἡ φλέψ
φλέβᾰ; τὴν φλέβᾰ<br><br>ἡ φλέψ
φλεβός; τῆς φλεβός<br><br>ἡ φλέψ
φλέβες; αἱ φλέβες<br><br>ἡ φλέψ
φλεψί(ν); ταῖς φλεψί(ν)<br><br>ἡ φλέψ
φλέψ; ἡ φλέψ<br>ῶ φλέψ<br><br>ἡ φλέψ
φύλακες; οἱ φύλακες<br><br>ὁ φύλαξ
φυλάκοιν; τοῖν φυλάκοιν<br><br>ὁ φύλαξ
φύλαξῐ(ν); τοῖς φύλαξῐ(ν)<br><br>ὁ φύλαξ
φύλακε; τὼ φύλακε<br><br>ὁ φύλαξ
φύλακῐ; τῷ φύλακῐ<br><br>ὁ φύλαξ
φύλαξ; ὁ φύλαξ<br>ῶ φύλαξ<br><br>ὁ φύλαξ
φύλακος; τοῦ φύλακος<br><br>ὁ φύλαξ
φυλάκων; τῶν φυλάκων<br><br>ὁ φύλαξ
φύλακᾰ; τὸν φύλακᾰ<br><br>ὁ φύλαξ
φύλακᾰς; τοὺς φύλακᾰς<br><br>ὁ φύλαξ
φάλαγγᾰ; τὴν φάλαγγᾰ<br><br>ἡ φάλαγξ
φάλαγγε; τὼ φάλαγγε<br><br>ἡ φάλαγξ
φάλαγγᾰς; τὰς φάλαγγᾰς<br><br>ἡ φάλαγξ
φάλαγγες; αἱ φάλαγγες<br><br>ἡ φάλαγξ
φάλαγγος; τῆς φάλαγγος<br><br>ἡ φάλαγξ
φάλαγγῐ(ν); ταῖς φάλαγγῐ(ν)<br><br>ἡ φάλαγξ
φάλαγγῐ; τῇ φάλαγγῐ<br><br>ἡ φάλαγξ
φαλάγγοιν; τοῖν φαλάγγοιν<br><br>ἡ φάλαγξ
φάλαγξ; ἡ φάλαγξ<br>ῶ φάλαγξ<br><br>ἡ φάλαγξ
φαλάγγων; τῶν φαλάγγων<br><br>ἡ φάλαγξ
αἶγᾰ; τὸν/τὴν αἶγᾰ<br><br>ὁ/ἡ αἴξ
αἰγός; τοῦ/τῆς αἰγός<br><br>ὁ/ἡ αἴξ
αἶγες; οἱ/αἱ αἶγες<br><br>ὁ/ἡ αἴξ
αἰγί; τῷ/τῇ αἰγί<br><br>ὁ/ἡ αἴξ
αἴξ; ῶ/ῶ αἴξ<br>ὁ/ἡ αἴξ<br><br>ὁ/ἡ αἴξ
αἶγᾰς; τοὺς/τὰς αἶγᾰς<br><br>ὁ/ἡ αἴξ
αἰγῶν; τῶν/τῶν αἰγῶν<br><br>ὁ/ἡ αἴξ
αἰξί(ν); τοῖς/ταῖς αἰξί(ν)<br><br>ὁ/ἡ αἴξ
αἰγοῖν; τοῖν/τοῖν αἰγοῖν<br><br>ὁ/ἡ αἴξ
αἶγε; τὼ/τὼ αἶγε<br><br>ὁ/ἡ αἴξ
τρίχᾰς; τὰς τρίχᾰς<br><br>ἡ θρίξ
θρίξ; ἡ θρίξ<br>ῶ θρίξ<br><br>ἡ θρίξ
τρίχᾰ; τὴν τρίχᾰ<br><br>ἡ θρίξ
τρῐχῶν; τῶν τρῐχῶν<br><br>ἡ θρίξ
τρῐχί; τῇ τρῐχί<br><br>ἡ θρίξ
τρίχε; τὼ τρίχε<br><br>ἡ θρίξ
τρῐχοῖν; τοῖν τρῐχοῖν<br><br>ἡ θρίξ
τρῐχός; τῆς τρῐχός<br><br>ἡ θρίξ
τρίχες; αἱ τρίχες<br><br>ἡ θρίξ
θριξί(ν); ταῖς θριξί(ν)<br><br>ἡ θρίξ
θητί; τῷ θητί<br><br>ὁ θής
θητοῖν; τοῖν θητοῖν<br><br>ὁ θής
θησί(ν); τοῖς θησί(ν)<br><br>ὁ θής
θῆτᾰς; τοὺς θῆτᾰς<br><br>ὁ θής
θητῶν; τῶν θητῶν<br><br>ὁ θής
θητός; τοῦ θητός<br><br>ὁ θής
θής; ὁ θής<br>ῶ θής<br><br>ὁ θής
θῆτες; οἱ θῆτες<br><br>ὁ θής
θῆτε; τὼ θῆτε<br><br>ὁ θής
θῆτᾰ; τὸν θῆτᾰ<br><br>ὁ θής
ἐλπίς; ἡ ἐλπίς<br><br>ἡ ἐλπίς
ἐλπίδᾰ; τὴν ἐλπίδᾰ<br><br>ἡ ἐλπίς
ἐλπίδῐ; τῇ ἐλπίδῐ<br><br>ἡ ἐλπίς
ἐλπίδων; τῶν ἐλπίδων<br><br>ἡ ἐλπίς
ἐλπίδος; τῆς ἐλπίδος<br><br>ἡ ἐλπίς
ἐλπίδοιν; τοῖν ἐλπίδοιν<br><br>ἡ ἐλπίς
ἐλπίδες; αἱ ἐλπίδες<br><br>ἡ ἐλπίς
ἐλπί; ῶ ἐλπί<br><br>ἡ ἐλπίς
ἐλπίδε; τὼ ἐλπίδε<br><br>ἡ ἐλπίς
ἐλπίσῐ(ν); ταῖς ἐλπίσῐ(ν)<br><br>ἡ ἐλπίς
ἐλπίδᾰς; τὰς ἐλπίδᾰς<br><br>ἡ ἐλπίς
χᾰρίτων; τῶν χᾰρίτων<br><br>ἡ χάρις
χᾰρίτοιν; τοῖν χᾰρίτοιν<br><br>ἡ χάρις
χάρῐ; ῶ χάρῐ<br><br>ἡ χάρις
χάρῐτᾰς; τὰς χάρῐτᾰς<br><br>ἡ χάρις
χάριν; τὴν χάριν<br><br>ἡ χάρις
χάρῐς; ἡ χάρῐς<br><br>ἡ χάρις
χάρῐσῐ(ν); ταῖς χάρῐσῐ(ν)<br><br>ἡ χάρις
χάρῐτες; αἱ χάρῐτες<br><br>ἡ χάρις
χάρῐτε; τὼ χάρῐτε<br><br>ἡ χάρις
χάρῐτος; τῆς χάρῐτος<br><br>ἡ χάρις
χάρῐτῐ; τῇ χάρῐτῐ<br><br>ἡ χάρις
ὀρνίθοιν; τοῖν/τοῖν ὀρνίθοιν<br><br>ὁ/ἡ ὄρνις
ὄρνῑν; τὸν/τὴν ὄρνῑν<br><br>ὁ/ἡ ὄρνις
ὄρνῑθες; οἱ/αἱ ὄρνῑθες<br><br>ὁ/ἡ ὄρνις
ὀρνίθων; τῶν/τῶν ὀρνίθων<br><br>ὁ/ἡ ὄρνις
ὄρνῑθος; τοῦ/τῆς ὄρνῑθος<br><br>ὁ/ἡ ὄρνις
ὄρνῑθᾰς; τοὺς/τὰς ὄρνῑθᾰς<br><br>ὁ/ἡ ὄρνις
ὄρνῑθῐ; τῷ/τῇ ὄρνῑθῐ<br><br>ὁ/ἡ ὄρνις
ὄρνῑς; ὁ/ἡ ὄρνῑς<br><br>ὁ/ἡ ὄρνις
ὄρνῑ; ῶ/ῶ ὄρνῑ<br><br>ὁ/ἡ ὄρνις
ὄρνῑθε; τὼ/τὼ ὄρνῑθε<br><br>ὁ/ἡ ὄρνις
ὄρνῑσῐ(ν); τοῖς/ταῖς ὄρνῑσῐ(ν)<br><br>ὁ/ἡ ὄρνις
Γίγᾱς; ὁ Γίγᾱς<br><br>ὁ Γίγας
Γίγᾱσῐ(ν); τοῖς Γίγᾱσῐ(ν)<br><br>ὁ Γίγας
Γίγαντᾰς; τοὺς Γίγαντᾰς<br><br>ὁ Γίγας
Γίγαντᾰ; τὸν Γίγαντᾰ<br><br>ὁ Γίγας
Γίγαντος; τοῦ Γίγαντος<br><br>ὁ Γίγας
Γίγαντε; τὼ Γίγαντε<br><br>ὁ Γίγας
Γίγᾰν; ῶ Γίγᾰν<br><br>ὁ Γίγας
Γίγαντες; οἱ Γίγαντες<br><br>ὁ Γίγας
Γῐγάντοιν; τοῖν Γῐγάντοιν<br><br>ὁ Γίγας
Γῐγάντων; τῶν Γῐγάντων<br><br>ὁ Γίγας
Γίγαντῐ; τῷ Γίγαντῐ<br><br>ὁ Γίγας
γέρον; ῶ γέρον<br><br>ὁ γέρων
γερόντων; τῶν γερόντων<br><br>ὁ γέρων
γέρων; ὁ γέρων<br><br>ὁ γέρων
γέροντᾰ; τὸν γέροντᾰ<br><br>ὁ γέρων
γέρουσῐ(ν); τοῖς γέρουσῐ(ν)<br><br>ὁ γέρων
γέροντος; τοῦ γέροντος<br><br>ὁ γέρων
γέροντες; οἱ γέροντες<br><br>ὁ γέρων
γέροντῐ; τῷ γέροντῐ<br><br>ὁ γέρων
γέροντᾰς; τοὺς γέροντᾰς<br><br>ὁ γέρων
γέροντε; τὼ γέροντε<br><br>ὁ γέρων
γερόντοιν; τοῖν γερόντοιν<br><br>ὁ γέρων
σώμᾰσῐ(ν); τοῖς σώμᾰσῐ(ν)<br><br>τὸ σῶμα
σῶμᾰ; τὸ σῶμᾰ<br>ῶ σῶμᾰ<br><br>τὸ σῶμα
σωμάτοιν; τοῖν σωμάτοιν<br><br>τὸ σῶμα
σώμᾰτος; τοῦ σώμᾰτος<br><br>τὸ σῶμα
σώμᾰτᾰ; τὰ σώμᾰτᾰ<br><br>τὸ σῶμα
σώμᾰτῐ; τῷ σώμᾰτῐ<br><br>τὸ σῶμα
σώμᾰτε; τὼ σώμᾰτε<br><br>τὸ σῶμα
σωμάτων; τῶν σωμάτων<br><br>τὸ σῶμα
ἥπατε; τὼ ἥπατε<br><br>τὸ ἧπαρ
ἡπάτων; τῶν ἡπάτων<br><br>τὸ ἧπαρ
ἥπατᾰ; τὰ ἥπατᾰ<br><br>τὸ ἧπαρ
ἥπατος; τοῦ ἥπατος<br><br>τὸ ἧπαρ
ἧπαρ; τὸ ἧπαρ<br>ῶ ἧπαρ<br><br>τὸ ἧπαρ
ἡπάτοιν; τοῖν ἡπάτοιν<br><br>τὸ ἧπαρ
ἥπασῐ(ν); τοῖς ἥπασῐ(ν)<br><br>τὸ ἧπαρ
ἥπατῐ; τῷ ἥπατῐ<br><br>τὸ ἧπαρ
τέρας; τὸ τέρας<br>ῶ τέρας<br><br>τὸ τέρας
τέρασῐ(ν); τοῖς τέρασῐ(ν)<br><br>τὸ τέρας
τεράτων; τῶν τεράτων<br><br>τὸ τέρας
τέρατε; τὼ τέρατε<br><br>τὸ τέρας
τέρατος; τοῦ τέρατος<br><br>τὸ τέρας
τεράτοιν; τοῖν τεράτοιν<br><br>τὸ τέρας
τέρατῐ; τῷ τέρατῐ<br><br>τὸ τέρας
τέρατᾰ; τὰ τέρατᾰ<br><br>τὸ τέρας
κέρατῐ; τῷ κέρατῐ<br><br>τὸ κέρας
κεράτοιν; τοῖν κεράτοιν<br><br>τὸ κέρας
κέρατᾰ; τὰ κέρατᾰ<br><br>τὸ κέρας
