ἡ χώρα<br>τὴν ________; τὴν χώρᾱν
ἡ μοῖρα<br>τῶν ________; τῶν μοιρῶν
ἡ μοῖρα<br>αἱ ________; αἱ μοῖραι
ἡ μοῖρα<br>ταῖς ________; ταῖς μοίραις
ἡ μοῖρα<br>τοῖν ________; τοῖν μοίραιν
ἡ μοῖρα<br>τὼ ________; τὼ μοίρᾱ
ἡ γλῶττα<br>τὴν ________; τὴν γλῶττᾰν
ἡ γλῶττα<br>τῆς ________; τῆς γλώττης
ἡ γλῶττα<br>ἡ ________; ἡ γλῶττᾰ
ἡ γλῶττα<br>τῇ ________; τῇ γλώττῃ
ἡ γλῶττα<br>ῶ ________; ῶ γλῶττᾰ
ἡ γλῶττα<br>τὰς ________; τὰς γλώττᾱς
ἡ γλῶττα<br>τῶν ________; τῶν γλωττῶν
ἡ γλῶττα<br>αἱ ________; αἱ γλῶτται
ἡ γλῶττα<br>ταῖς ________; ταῖς γλώτταις
ἡ γλῶττα<br>τοῖν ________; τοῖν γλώτταιν
ἡ γλῶττα<br>τὼ ________; τὼ γλώττᾱ
ἡ θάλαττα<br>τὴν ________; τὴν θάλαττᾰν
ἡ θάλαττα<br>τῆς ________; τῆς θᾰλάττης
ἡ θάλαττα<br>ἡ ________; ἡ θάλαττᾰ
ἡ θάλαττα<br>τῇ ________; τῇ θᾰλάττῃ
ἡ θάλαττα<br>ῶ ________; ῶ θάλαττᾰ
ἡ θάλαττα<br>τὰς ________; τὰς θᾰλάττᾱς
ἡ θάλαττα<br>τῶν ________; τῶν θᾰλαττῶν
ἡ θάλαττα<br>αἱ ________; αἱ θάλατται
ἡ θάλαττα<br>ταῖς ________; ταῖς θᾰλάτταις
ἡ θάλαττα<br>τοῖν ________; τοῖν θᾰλάτταιν
ἡ θάλαττα<br>τὼ ________; τὼ θᾰλάττᾱ
ὁ νεανίας<br>τὸν ________; τὸν νεᾱνίᾱν
ὁ νεανίας<br>τοῦ ________; τοῦ νεᾱνίου
ὁ νεανίας<br>ὁ ________; ὁ νεᾱνίᾱς
ὁ νεανίας<br>τῷ ________; τῷ νεᾱνίᾳ
ὁ νεανίας<br>ῶ ________; ῶ νεᾱνίᾱ
ὁ νεανίας<br>τοὺς ________; τοὺς νεᾱνίᾱς
ὁ νεανίας<br>τῶν ________; τῶν νεᾱνιῶν
ὁ νεανίας<br>οἱ ________; οἱ νεᾱνίαι
ὁ νεανίας<br>τοῖς ________; τοῖς νεᾱνίοις
ὁ νεανίας<br>τοῖν ________; τοῖν νεᾱνίαιν
ὁ νεανίας<br>τὼ ________; τὼ νεᾱνίᾱ
ὁ πολίτης<br>τὸν ________; τὸν πολῑ́την
ὁ πολίτης<br>τοῦ ________; τοῦ πολῑ́του
ὁ πολίτης<br>ὁ ________; ὁ πολῑ́της
ὁ πολίτης<br>τῷ ________; τῷ πολῑ́τῃ
ὁ πολίτης<br>ῶ ________; ῶ πολῖτᾰ
ὁ πολίτης<br>τοὺς ________; τοὺς πολῑ́τᾱς
ὁ πολίτης<br>τῶν ________; τῶν πολῑτῶν
ὁ πολίτης<br>οἱ ________; οἱ πολῖται
ὁ πολίτης<br>τοῖς ________; τοῖς πολῑ́ταις
ὁ πολίτης<br>τοῖν ________; τοῖν πολῑ́ταιν
ὁ πολίτης<br>τὼ ________; τὼ πολῑ́τᾱ
ὁ κριτής<br>τὸν ________; τὸν κριτήν
ὁ κριτής<br>τοῦ ________; τοῦ κριτοῦ
ὁ κριτής<br>ὁ ________; ὁ κριτής
ὁ κριτής<br>τῷ ________; τῷ κριτῇ
ὁ κριτής<br>ῶ ________; ῶ κριτά
ὁ κριτής<br>τοὺς ________; τοὺς κριτάς
ὁ κριτής<br>τῶν ________; τῶν κριτῶν
ὁ κριτής<br>οἱ ________; οἱ κριταί
ὁ κριτής<br>τοῖς ________; τοῖς κριταῖς
ὁ κριτής<br>τοῖν ________; τοῖν κριταῖν
ὁ κριτής<br>τὼ ________; τὼ κριτά
ὁ Ἀτρείδης<br>τὸν ________; τὸν Ἀτρείδην
ὁ Ἀτρείδης<br>τοῦ ________; τοῦ Ἀτρείδου
ὁ Ἀτρείδης<br>ὁ ________; ὁ Ἀτρείδης
ὁ Ἀτρείδης<br>τῷ ________; τῷ Ἀτρείδῃ
ὁ Ἀτρείδης<br>ῶ ________; ῶ Ἀτρείδη
ὁ Ἀτρείδης<br>τοὺς ________; τοὺς Ἀτρείδᾱς
ὁ Ἀτρείδης<br>τῶν ________; τῶν Ἀτρειδῶν
ὁ Ἀτρείδης<br>οἱ ________; οἱ Ἀτρεῖδαι
ὁ Ἀτρείδης<br>τοῖς ________; τοῖς Ἀτρείδαις
ὁ Ἀτρείδης<br>τοῖν ________; τοῖν Ἀτρείδαιν
ὁ Ἀτρείδης<br>τὼ ________; τὼ Ἀτρείδᾱ
ἡ μνᾶ<br>τὴν ________; τὴν μνᾶν
ἡ μνᾶ<br>τῆς ________; τῆς μνᾶς
ἡ μνᾶ<br>ἡ ________; ἡ μνᾶ
ἡ μνᾶ<br>τῇ ________; τῇ μνᾷ
ἡ μνᾶ<br>ῶ ________; ῶ μνᾶ
ἡ μνᾶ<br>τὰς ________; τὰς μνᾶς
ἡ μνᾶ<br>τῶν ________; τῶν μνῶν
ἡ μνᾶ<br>αἱ ________; αἱ μναῖ
ἡ μνᾶ<br>ταῖς ________; ταῖς μναῖς
ἡ μνᾶ<br>τοῖν ________; τοῖν μναῖν
ἡ μνᾶ<br>τὼ ________; τὼ μνᾶ
ἡ συκῆ<br>τὴν ________; τὴν σῡκῆν
ἡ συκῆ<br>τῆς ________; τῆς σῡκῆς
ἡ συκῆ<br>ἡ ________; ἡ σῡκῆ
ἡ συκῆ<br>τῇ ________; τῇ σῡκῇ
ἡ συκῆ<br>ῶ ________; ῶ σῡκῆ
ἡ συκῆ<br>τὰς ________; τὰς σῡκᾶς
ἡ συκῆ<br>τῶν ________; τῶν σῡκῶν
ἡ συκῆ<br>αἱ ________; αἱ σῡκαῖ
ἡ συκῆ<br>ταῖς ________; ταῖς σῡκαῖς
ἡ συκῆ<br>τοῖν ________; τοῖν σῡκαῖν
ἡ συκῆ<br>τὼ ________; τὼ σῡκᾶ
ὁ Βορρᾶς<br>τὸν ________; τὸν Βορρᾶν
ὁ Βορρᾶς<br>τοῦ ________; τοῦ Βορρᾶ
ὁ Βορρᾶς<br>ὁ ________; ὁ Βορρᾶς
ὁ Βορρᾶς<br>τῷ ________; τῷ Βορρᾷ
ὁ Βορρᾶς<br>ῶ ________; ῶ Βορρᾶς
ὁ Ἑρμῆς<br>τὸν ________; τὸν Ἑρμῆν<br>τὸν Ἑρμέην<br>τὸν Ἑρμῆ
ὁ Ἑρμῆς<br>τοῦ ________; τοῦ Ἑρμοῦ
ὁ Ἑρμῆς<br>ῶ ________; ῶ Ἑρμῆ
ὁ Ἑρμῆς<br>ὁ ________; ὁ Ἑρμῆς
ὁ Ἑρμῆς<br>τῷ ________; τῷ Ἑρμῇ<br>τῷ Ἑρμέᾳ
ὁ ἵππος<br>τὸν ________; τὸν ἵππον
ὁ ἵππος<br>τοῦ ________; τοῦ ἵππου
ὁ ἵππος<br>ὁ ________; ὁ ἵππος
ὁ ἵππος<br>τῷ ________; τῷ ἵππῳ
ὁ ἵππος<br>ῶ ________; ῶ ἵππε
ὁ ἵππος<br>τοὺς ________; τοὺς ἵππους
ὁ ἵππος<br>τῶν ________; τῶν ἵππων
ὁ ἵππος<br>οἱ ________; οἱ ἵπποι
ὁ ἵππος<br>τοῖς ________; τοῖς ἵπποις
ὁ ἵππος<br>τοῖν ________; τοῖν ἵπποιν
ὁ ἵππος<br>τὼ ________; τὼ ἵππω
ὁ ἄνθρωπος<br>τὸν ________; τὸν ἄνθρωπον
ὁ ἄνθρωπος<br>τοῦ ________; τοῦ ἀνθρώπου
ὁ ἄνθρωπος<br>ὁ ________; ὁ ἄνθρωπος
ὁ ἄνθρωπος<br>τῷ ________; τῷ ἀνθρώπῳ
ὁ ἄνθρωπος<br>ῶ ________; ῶ ἄνθρωπε
ὁ ἄνθρωπος<br>τοὺς ________; τοὺς ἀνθρώπους
ὁ ἄνθρωπος<br>τῶν ________; τῶν ἀνθρώπων
ὁ ἄνθρωπος<br>οἱ ________; οἱ ἄνθρωποι
ὁ ἄνθρωπος<br>τοῖς ________; τοῖς ἀνθρώποις
ὁ ἄνθρωπος<br>τοῖν ________; τοῖν ἀνθρώποιν
ὁ ἄνθρωπος<br>τὼ ________; τὼ ἀνθρώπω
ἡ ὁδός<br>τὴν ________; τὴν ὁδόν
ἡ ὁδός<br>τῆς ________; τῆς ὁδοῦ
ἡ ὁδός<br>ἡ ________; ἡ ὁδός
ἡ ὁδός<br>τῇ ________; τῇ ὁδῷ
ἡ ὁδός<br>ῶ ________; ῶ ὁδέ
ἡ ὁδός<br>τὰς ________; τὰς ὁδούς
ἡ ὁδός<br>τῶν ________; τῶν ὁδῶν
ἡ ὁδός<br>αἱ ________; αἱ ὁδοί
ἡ ὁδός<br>ταῖς ________; ταῖς ὁδοῖς
ἡ ὁδός<br>τοῖν ________; τοῖν ὁδοῖν
ἡ ὁδός<br>τὼ ________; τὼ ὁδώ
τὸ δῶρον<br>τοῦ ________; τοῦ δώρου
τὸ δῶρον<br>τὸ ________; τὸ δῶρον
τὸ δῶρον<br>τῷ ________; τῷ δώρῳ
τὸ δῶρον<br>ῶ ________; ῶ δῶρον
τὸ δῶρον<br>τῶν ________; τῶν δώρων
τὸ δῶρον<br>τὰ ________; τὰ δῶρᾰ
τὸ δῶρον<br>τοῖς ________; τοῖς δώροις
τὸ δῶρον<br>τοῖν ________; τοῖν δώροιν
τὸ δῶρον<br>τὼ ________; τὼ δώρω
ὁ νοῦς<br>τὸν ________; τὸν νόον<br>τὸν νοῦν
ὁ νοῦς<br>τοῦ ________; τοῦ νόου<br>τοῦ νοῦ
ὁ νοῦς<br>ὁ ________; ὁ νόος<br>ὁ νοῦς
ὁ νοῦς<br>τῷ ________; τῷ νόῳ<br>τῷ νῷ
ὁ νοῦς<br>ῶ ________; ῶ νόε<br>ῶ νοῦ
ὁ νοῦς<br>τοὺς ________; τοὺς νόους<br>τοὺς νοῦς
ὁ νοῦς<br>τῶν ________; τῶν νόων<br>τῶν νῶν
ὁ νοῦς<br>οἱ ________; οἱ νόοι<br>οἱ νοῖ
ὁ νοῦς<br>τοῖς ________; τοῖς νόοις<br>τοῖς νοῖς
ὁ νοῦς<br>τοῖν ________; τοῖν νόοιν<br>τοῖν νοῖν
ὁ νοῦς<br>τὼ ________; τὼ νόω<br>τὼ νώ
ὁ περίπλους<br>τὸν ________; τὸν περίπλοον<br>τὸν περίπλουν
ὁ περίπλους<br>τοῦ ________; τοῦ περιπλόου<br>τοῦ περίπλου
ὁ περίπλους<br>ὁ ________; ὁ περίπλοος<br>ὁ περίπλους
ὁ περίπλους<br>τῷ ________; τῷ περιπλόῳ<br>τῷ περίπλῳ
ὁ περίπλους<br>ῶ ________; ῶ περίπλοε<br>ῶ περίπλου
ὁ περίπλους<br>τοὺς ________; τοὺς περιπλόους<br>τοὺς περίπλοις
ὁ περίπλους<br>τῶν ________; τῶν περιπλόων<br>τῶν περίπλων
ὁ περίπλους<br>οἱ ________; οἱ περίπλοοι<br>οἱ περίπλοι
ὁ περίπλους<br>τοῖς ________; τοῖς περιπλόοις<br>τοῖς περίπλοις
ὁ περίπλους<br>τοῖν ________; τοῖν περιπλόοιν<br>τοῖν περίπλοιν
ὁ περίπλους<br>τὼ ________; τὼ περιπλόω<br>τὼ περίπλω
τὸ ὀστοῦν<br>τοῦ ________; τοῦ ὀστοῦ
τὸ ὀστοῦν<br>τὸ ________; τὸ ὀστοῦν
τὸ ὀστοῦν<br>τῷ ________; τῷ ὀστῷ
τὸ ὀστοῦν<br>ῶ ________; ῶ ὀστοῦν
τὸ ὀστοῦν<br>τῶν ________; τῶν ὀστῶν
τὸ ὀστοῦν<br>τὰ ________; τὰ ὀστᾶ
τὸ ὀστοῦν<br>τοῖς ________; τοῖς ὀστοῖς
τὸ ὀστοῦν<br>τοῖν ________; τοῖν ὀστοῖν
τὸ ὀστοῦν<br>τὼ ________; τὼ ὀστώ
ὁ νεώς<br>τὸν ________; τὸν νεών
ὁ νεώς<br>τοῦ ________; τοῦ νεώ
ὁ νεώς<br>ὁ ________; ὁ νεώς
ὁ νεώς<br>τῷ ________; τῷ νεῴ
ὁ νεώς<br>ῶ ________; ῶ νεώς
ὁ νεώς<br>τοὺς ________; τοὺς νεώς
ὁ νεώς<br>τῶν ________; τῶν νεών
ὁ νεώς<br>οἱ ________; οἱ νεῴ
ὁ νεώς<br>τοῖς ________; τοῖς νεῴς
ὁ νεώς<br>τοῖν ________; τοῖν νεῴν
ὁ νεώς<br>τὼ ________; τὼ νεώ
ὁ Αἰθίοψ<br>τὸν ________; τὸν Αἰθίοπᾰ
ὁ Αἰθίοψ<br>τοῦ ________; τοῦ Αἰθίοπος
ὁ Αἰθίοψ<br>ὁ ________; ὁ Αἰθίοψ
ὁ Αἰθίοψ<br>τῷ ________; τῷ Αἰθίοπῐ
ὁ Αἰθίοψ<br>ῶ ________; ῶ Αἰθίοψ
ὁ Αἰθίοψ<br>τοὺς ________; τοὺς Αἰθίοπᾰς
ὁ Αἰθίοψ<br>τῶν ________; τῶν Αἰθιόπων
ὁ Αἰθίοψ<br>οἱ ________; οἱ Αἰθίοπες
ὁ Αἰθίοψ<br>τοῖς ________; τοῖς Αἰθίοπῐ<br>τοῖς Αἰθίοπῐν
ὁ Αἰθίοψ<br>τοῖν ________; τοῖν Αἰθιόποιν
ὁ Αἰθίοψ<br>τὼ ________; τὼ Αἰθίοπε
ἡ φλέψ<br>τὴν ________; τὴν φλέβᾰ
ἡ φλέψ<br>τῆς ________; τῆς φλεβός
ἡ φλέψ<br>ἡ ________; ἡ φλέψ
ἡ φλέψ<br>τῇ ________; τῇ φλεβί
ἡ φλέψ<br>ῶ ________; ῶ φλέψ
ἡ φλέψ<br>τὰς ________; τὰς φλέβᾰς
ἡ φλέψ<br>τῶν ________; τῶν φλεβῶν
ἡ φλέψ<br>αἱ ________; αἱ φλέβες
ἡ φλέψ<br>ταῖς ________; ταῖς φλεψί<br>ταῖς φλεψίν
ἡ φλέψ<br>τοῖν ________; τοῖν φλεβοῖν
ἡ φλέψ<br>τὼ ________; τὼ φλέβε
ὁ φύλαξ<br>τὸν ________; τὸν φύλακᾰ
ὁ φύλαξ<br>τοῦ ________; τοῦ φύλακος
ὁ φύλαξ<br>ὁ ________; ὁ φύλαξ
ὁ φύλαξ<br>τῷ ________; τῷ φύλακῐ
ὁ φύλαξ<br>ῶ ________; ῶ φύλαξ
ὁ φύλαξ<br>τοὺς ________; τοὺς φύλακᾰς
ὁ φύλαξ<br>τῶν ________; τῶν φυλάκων
ὁ φύλαξ<br>οἱ ________; οἱ φύλακες
ὁ φύλαξ<br>τοῖς ________; τοῖς φύλαξῐ<br>τοῖς φύλαξῐν
ὁ φύλαξ<br>τοῖν ________; τοῖν φυλάκοιν
ὁ φύλαξ<br>τὼ ________; τὼ φύλακε
ἡ φάλαγξ<br>τὴν ________; τὴν φάλαγγᾰ
ἡ φάλαγξ<br>τῆς ________; τῆς φάλαγγος
ἡ φάλαγξ<br>ἡ ________; ἡ φάλαγξ
ἡ φάλαγξ<br>τῇ ________; τῇ φάλαγγῐ
ἡ φάλαγξ<br>ῶ ________; ῶ φάλαγξ
ἡ φάλαγξ<br>τὰς ________; τὰς φάλαγγᾰς
ἡ φάλαγξ<br>τῶν ________; τῶν φαλάγγων
ἡ φάλαγξ<br>αἱ ________; αἱ φάλαγγες
ἡ φάλαγξ<br>ταῖς ________; ταῖς φάλαγγῐ<br>ταῖς φάλαγγῐν
ἡ φάλαγξ<br>τοῖν ________; τοῖν φαλάγγοιν
ἡ φάλαγξ<br>τὼ ________; τὼ φάλαγγε
ὁ/ἡ αἴξ<br>τὸν/τὴν ________; τὸν/τὴν αἶγᾰ
ὁ/ἡ αἴξ<br>τοῦ/τῆς ________; τοῦ/τῆς αἰγός
ὁ/ἡ αἴξ<br>ὁ/ἡ ________; ὁ/ἡ αἴξ
ὁ/ἡ αἴξ<br>τῷ/τῇ ________; τῷ/τῇ αἰγί
ὁ/ἡ αἴξ<br>ῶ/ῶ ________; ῶ/ῶ αἴξ
ὁ/ἡ αἴξ<br>τοὺς/τὰς ________; τοὺς/τὰς αἶγᾰς
ὁ/ἡ αἴξ<br>τῶν/τῶν ________; τῶν/τῶν αἰγῶν
ὁ/ἡ αἴξ<br>οἱ/αἱ ________; οἱ/αἱ αἶγες
ὁ/ἡ αἴξ<br>τοῖς/ταῖς ________; τοῖς/ταῖς αἰξί<br>τοῖς/ταῖς αἰξίν
ὁ/ἡ αἴξ<br>τοῖν/τοῖν ________; τοῖν/τοῖν αἰγοῖν
ὁ/ἡ αἴξ<br>τὼ/τὼ ________; τὼ/τὼ αἶγε
ἡ θρίξ<br>τὴν ________; τὴν τρίχᾰ
ἡ θρίξ<br>τῆς ________; τῆς τρῐχός
ἡ θρίξ<br>ἡ ________; ἡ θρίξ
ἡ θρίξ<br>τῇ ________; τῇ τρῐχί
ἡ θρίξ<br>ῶ ________; ῶ θρίξ
ἡ θρίξ<br>τὰς ________; τὰς τρίχᾰς
ἡ θρίξ<br>τῶν ________; τῶν τρῐχῶν
ἡ θρίξ<br>αἱ ________; αἱ τρίχες
ἡ θρίξ<br>ταῖς ________; ταῖς θριξί<br>ταῖς θριξίν
ἡ θρίξ<br>τοῖν ________; τοῖν τρῐχοῖν
ἡ θρίξ<br>τὼ ________; τὼ τρίχε
ὁ θής<br>τὸν ________; τὸν θῆτᾰ
ὁ θής<br>τοῦ ________; τοῦ θητός
ὁ θής<br>ὁ ________; ὁ θής
ὁ θής<br>τῷ ________; τῷ θητί
ὁ θής<br>ῶ ________; ῶ θής
ὁ θής<br>τοὺς ________; τοὺς θῆτᾰς
ὁ θής<br>τῶν ________; τῶν θητῶν
ὁ θής<br>οἱ ________; οἱ θῆτες
ὁ θής<br>τοῖς ________; τοῖς θησί<br>τοῖς θησίν
ὁ θής<br>τοῖν ________; τοῖν θητοῖν
ὁ θής<br>τὼ ________; τὼ θῆτε
ἡ ἐλπίς<br>τὴν ________; τὴν ἐλπίδᾰ
ἡ ἐλπίς<br>τῆς ________; τῆς ἐλπίδος
ἡ ἐλπίς<br>ἡ ________; ἡ ἐλπίς
ἡ ἐλπίς<br>τῇ ________; τῇ ἐλπίδῐ
ἡ ἐλπίς<br>ῶ ________; ῶ ἐλπί
ἡ ἐλπίς<br>τὰς ________; τὰς ἐλπίδᾰς
ἡ ἐλπίς<br>τῶν ________; τῶν ἐλπίδων
ἡ ἐλπίς<br>αἱ ________; αἱ ἐλπίδες
ἡ ἐλπίς<br>ταῖς ________; ταῖς ἐλπίσῐ<br>ταῖς ἐλπίσῐν
ἡ ἐλπίς<br>τοῖν ________; τοῖν ἐλπίδοιν
ἡ ἐλπίς<br>τὼ ________; τὼ ἐλπίδε
ἡ χάρις<br>τὴν ________; τὴν χάριν
ἡ χάρις<br>τῆς ________; τῆς χάρῐτος
ἡ χάρις<br>ἡ ________; ἡ χάρῐς
ἡ χάρις<br>τῇ ________; τῇ χάρῐτῐ
ἡ χάρις<br>ῶ ________; ῶ χάρῐ
ἡ χάρις<br>τὰς ________; τὰς χάρῐτᾰς
ἡ χάρις<br>τῶν ________; τῶν χᾰρίτων
ἡ χάρις<br>αἱ ________; αἱ χάρῐτες
ἡ χάρις<br>ταῖς ________; ταῖς χάρῐσῐ<br>ταῖς χάρῐσῐν
ἡ χάρις<br>τοῖν ________; τοῖν χᾰρίτοιν
ἡ χάρις<br>τὼ ________; τὼ χάρῐτε
ὁ/ἡ ὄρνις<br>τὸν/τὴν ________; τὸν/τὴν ὄρνῑν
ὁ/ἡ ὄρνις<br>τοῦ/τῆς ________; τοῦ/τῆς ὄρνῑθος
ὁ/ἡ ὄρνις<br>ὁ/ἡ ________; ὁ/ἡ ὄρνῑς
ὁ/ἡ ὄρνις<br>τῷ/τῇ ________; τῷ/τῇ ὄρνῑθῐ
ὁ/ἡ ὄρνις<br>ῶ/ῶ ________; ῶ/ῶ ὄρνῑ
ὁ/ἡ ὄρνις<br>τοὺς/τὰς ________; τοὺς/τὰς ὄρνῑθᾰς
ὁ/ἡ ὄρνις<br>τῶν/τῶν ________; τῶν/τῶν ὀρνίθων
ὁ/ἡ ὄρνις<br>οἱ/αἱ ________; οἱ/αἱ ὄρνῑθες
ὁ/ἡ ὄρνις<br>τοῖς/ταῖς ________; τοῖς/ταῖς ὄρνῑσῐ<br>τοῖς/ταῖς ὄρνῑσῐν
ὁ/ἡ ὄρνις<br>τοῖν/τοῖν ________; τοῖν/τοῖν ὀρνίθοιν
ὁ/ἡ ὄρνις<br>τὼ/τὼ ________; τὼ/τὼ ὄρνῑθε
ὁ Γίγας<br>τὸν ________; τὸν Γίγαντᾰ
ὁ Γίγας<br>τοῦ ________; τοῦ Γίγαντος
ὁ Γίγας<br>ὁ ________; ὁ Γίγᾱς
ὁ Γίγας<br>τῷ ________; τῷ Γίγαντῐ
ὁ Γίγας<br>ῶ ________; ῶ Γίγᾰν
ὁ Γίγας<br>τοὺς ________; τοὺς Γίγαντᾰς
ὁ Γίγας<br>τῶν ________; τῶν Γῐγάντων
ὁ Γίγας<br>οἱ ________; οἱ Γίγαντες
ὁ Γίγας<br>τοῖς ________; τοῖς Γίγᾱσῐ<br>τοῖς Γίγᾱσῐν
ὁ Γίγας<br>τοῖν ________; τοῖν Γῐγάντοιν
ὁ Γίγας<br>τὼ ________; τὼ Γίγαντε
ὁ γέρων<br>τὸν ________; τὸν γέροντᾰ
ὁ γέρων<br>τοῦ ________; τοῦ γέροντος
ὁ γέρων<br>ὁ ________; ὁ γέρων
ὁ γέρων<br>τῷ ________; τῷ γέροντῐ
ὁ γέρων<br>ῶ ________; ῶ γέρον
ὁ γέρων<br>τοὺς ________; τοὺς γέροντᾰς
ὁ γέρων<br>τῶν ________; τῶν γερόντων
ὁ γέρων<br>οἱ ________; οἱ γέροντες
ὁ γέρων<br>τοῖς ________; τοῖς γέρουσῐ<br>τοῖς γέρουσῐν
ὁ γέρων<br>τοῖν ________; τοῖν γερόντοιν
ὁ γέρων<br>τὼ ________; τὼ γέροντε
τὸ σῶμα<br>τοῦ ________; τοῦ σώμᾰτος
τὸ σῶμα<br>τὸ ________; τὸ σῶμᾰ
τὸ σῶμα<br>τῷ ________; τῷ σώμᾰτῐ
τὸ σῶμα<br>ῶ ________; ῶ σῶμᾰ
τὸ σῶμα<br>τῶν ________; τῶν σωμάτων
τὸ σῶμα<br>τὰ ________; τὰ σώμᾰτᾰ
τὸ σῶμα<br>τοῖς ________; τοῖς σώμᾰσῐ<br>τοῖς σώμᾰσῐν
τὸ σῶμα<br>τοῖν ________; τοῖν σωμάτοιν
τὸ σῶμα<br>τὼ ________; τὼ σώμᾰτε
τὸ ἧπαρ<br>τοῦ ________; τοῦ ἥπατος
τὸ ἧπαρ<br>τὸ ________; τὸ ἧπαρ
τὸ ἧπαρ<br>τῷ ________; τῷ ἥπατῐ
τὸ ἧπαρ<br>ῶ ________; ῶ ἧπαρ
τὸ ἧπαρ<br>τῶν ________; τῶν ἡπάτων
τὸ ἧπαρ<br>τὰ ________; τὰ ἥπατᾰ
τὸ ἧπαρ<br>τοῖς ________; τοῖς ἥπασῐ<br>τοῖς ἥπασῐν
τὸ ἧπαρ<br>τοῖν ________; τοῖν ἡπάτοιν
τὸ ἧπαρ<br>τὼ ________; τὼ ἥπατε
τὸ τέρας<br>τοῦ ________; τοῦ τέρατος
τὸ τέρας<br>τὸ ________; τὸ τέρας
τὸ τέρας<br>τῷ ________; τῷ τέρατῐ
τὸ τέρας<br>ῶ ________; ῶ τέρας
τὸ τέρας<br>τῶν ________; τῶν τεράτων
τὸ τέρας<br>τὰ ________; τὰ τέρατᾰ
τὸ τέρας<br>τοῖς ________; τοῖς τέρασῐ<br>τοῖς τέρασῐν
τὸ τέρας<br>τοῖν ________; τοῖν τεράτοιν
τὸ τέρας<br>τὼ ________; τὼ τέρατε
τὸ κέρας<br>τοῦ ________; τοῦ κέρατος
τὸ κέρας<br>τὸ ________; τὸ κέρας
τὸ κέρας<br>τῷ ________; τῷ κέρατῐ
τὸ κέρας<br>ῶ ________; ῶ κέρας
τὸ κέρας<br>τῶν ________; τῶν κεράτων
τὸ κέρας<br>τὰ ________; τὰ κέρατᾰ
τὸ κέρας<br>τοῖς ________; τοῖς κέρασῐ<br>τοῖς κέρασῐν
τὸ κέρας<br>τοῖν ________; τοῖν κεράτοιν
τὸ κέρας<br>τὼ ________; τὼ κέρατε
ὁ θήρ<br>τὸν ________; τὸν θῆρᾰ
ὁ θήρ<br>τοῦ ________; τοῦ θηρός
ὁ θήρ<br>ὁ ________; ὁ θήρ
ὁ θήρ<br>τῷ ________; τῷ θηρί
ὁ θήρ<br>ῶ ________; ῶ θήρ
ὁ θήρ<br>τοὺς ________; τοὺς θῆρᾰς
ὁ θήρ<br>τῶν ________; τῶν θηρῶν
ὁ θήρ<br>οἱ ________; οἱ θῆρες
ὁ θήρ<br>τοῖς ________; τοῖς θηρσί<br>τοῖς θηρσίν
ὁ θήρ<br>τοῖν ________; τοῖν θηροῖν
ὁ θήρ<br>τὼ ________; τὼ θῆρε
ὁ ῥήτωρ<br>τὸν ________; τὸν ῥήτορᾰ
